,accuracy,recall_1,precision_1,f1,macro,micro,weighted,recall_0,precision_0
MCC,0.755666538609297,1.0,0.755666538609297,0.8608315098468272,0.4304157549234136,0.755666538609297,0.6505015673717669,0.0,0.0
LR,0.7760276603918556,0.9801728520589731,0.7799352750809061,0.8686641135390852,0.5542799055309507,0.7760276603918556,0.7150349500406806,0.14465408805031446,0.7022900763358778
NB,0.723780253553592,0.7935943060498221,0.8329775880469584,0.8128091642801354,0.6430346187701044,0.723780253553592,0.7298459595591368,0.5078616352201258,0.4430727023319616
RF,0.7579715712639262,1.0,0.7574123989218329,0.8619631901840491,0.4403273894845479,0.7579715712639263,0.6559237209217497,0.009433962264150943,1.0
SVM,0.755666538609297,1.0,0.755666538609297,0.8608315098468272,0.4304157549234136,0.755666538609297,0.6505015673717669,0.0,0.0
